year,car name,transmission,sun roof,auto retract mirror,electric parking brake,vehicle stability control,auto cruise control,price (Rp)
2019,126,1,0,0,0,0,0,122000000
2016,96,1,0,0,0,0,0,101000000
2012,34,1,0,0,0,0,0,102000000
2018,126,1,0,0,0,0,0,117000000
2011,19,1,0,0,0,0,0,100000000
2022,40,1,0,0,0,0,0,110000000
2017,39,1,0,0,0,0,0,116000000
2017,144,1,0,0,0,0,0,149000000
2015,140,0,0,0,0,0,0,169000000
2020,156,0,0,0,0,0,0,218000000
2016,104,0,1,1,0,0,0,190000000
2021,79,0,0,1,1,0,0,248000000
2017,24,0,0,0,0,0,0,115000000
2019,13,0,1,1,0,0,0,198000000
2019,13,0,1,1,0,0,0,202000000
2019,95,0,0,1,0,1,0,197000000
2021,39,0,0,1,0,0,0,138000000
2018,79,0,0,1,1,0,0,208000000
2019,154,0,0,1,0,0,1,216000000
2018,154,0,0,1,0,1,0,204000000
2019,77,0,0,0,1,0,0,248000000
2018,104,0,0,1,0,0,0,228000000
2014,103,0,0,0,0,0,0,157000000
2016,104,0,1,1,0,0,0,195000000
2018,80,0,0,1,0,0,0,254000000
2019,16,0,0,0,1,0,0,199000000
2019,16,0,0,0,0,0,0,203000000
2018,23,0,0,0,0,0,0,117000000
2019,154,0,0,1,0,0,1,213000000
2018,80,0,0,1,0,0,0,255000000
2016,101,0,0,0,0,0,0,155000000
2014,94,0,0,0,0,0,0,193000000
2016,88,0,0,0,0,0,0,233000000
2021,138,0,0,0,0,0,0,207000000
2018,80,0,0,1,0,0,0,257000000
2018,36,0,0,0,0,0,0,139000000
2020,35,0,0,1,0,0,0,180000000
2018,76,0,0,0,0,0,0,148000000
2019,7,0,0,0,0,0,0,128000000
2019,79,0,0,1,0,1,0,231000000
2019,49,0,0,1,0,1,0,168000000
2021,15,0,1,0,0,0,0,273000000
2019,11,0,0,1,0,0,0,204000000
2017,93,0,0,1,0,0,0,316000000
2019,28,0,0,1,0,0,0,176000000
2018,154,0,0,1,0,1,0,209000000
2018,154,0,0,1,0,1,0,210000000
2020,23,0,0,1,0,0,0,136000000
2019,13,0,1,1,0,0,0,203000000
2019,12,0,1,1,0,0,0,214000000
2021,42,0,0,1,0,0,0,261000000
2015,77,0,0,1,0,0,0,198000000
2017,18,0,0,0,0,0,0,135000000
2020,116,0,0,1,0,1,0,224000000
2021,51,0,0,0,0,0,0,180000000
2021,50,0,1,1,0,0,0,206000000
2019,13,0,0,1,0,0,0,203000000
2018,77,0,0,1,0,0,0,232000000
