Jenis mobil
2 GT 1.5
2 GT SKYACTIV 1.5
2 R 1.5
2 R SKYACTIV 1.5
AGYA G 1.0
AGYA G 1.2
AGYA G TRD 1.0
AGYA G TRD 1.2
AGYA G TRD SPORTIVO 1.2
AGYA GR SPORT 1.2
AGYA TRD SPORTIVO 1.0
ALMAZ L TURBO 1.5
ALMAZ LT LUX + SC CVT 1.5
ALMAZ LT LUX 1.5
ALMAZ LT LUX CVT 1.5
ALMAZ RS LT LUX + SC CVT 1.5
ALMAZ S+T 1.5
ALMAZ S+T SMART ENJOY 1.5
AVANZA E 1.3
AVANZA G 1.3
AVANZA G 1.5
AVANZA VELOZ 1.3
AVANZA VELOZ 1.5
AYLA R 1.2
AYLA R DLX 1.2
AYLA X 1.0
AYLA X 1.2
AYLA X ELEGANT 1.0
BALENO HATCHBACK 1.4
BIANTE SKYACTIV 2.0
BR-V E 1.5
BR-V E PRESTIGE 1.5
BR-V PRESTIGE 1.5
BRIO E 1.2
BRIO E 1.3
BRIO RS 1.2
BRIO SATYA E 1.2
BRIO SATYA S 1.2
CALYA E 1.2
CALYA G 1.2
CARRY PICK UP 1.5
CITY E 1.5
CITY RS HATCHBACK 1.5
CIVIC FB2 1.8
COLT L300 PICK UP 2.5
CONFERO 2WD 1.5
CONFERO S 1.5
CONFERO S L 1.5
CONFERO S L LUX 1.5
CORTEZ C T LUX 1.5
CORTEZ L T LUX 1.5
CORTEZ S T LUX 1.5
CORTEZ T LUX 1.5
CR-V 2.0
CROSS 1.2
CX-3 TOURING 2.0
CX-5 GT 2.5
CX-5 HIGH 2.5
ECOSPORT TITANIUM 1.5
ERTIGA DREZA 1.4
ERTIGA DREZA GS 1.4
ERTIGA GL 1.4
ERTIGA GL 1.5
ERTIGA GX 1.4
ERTIGA GX 1.5
ERTIGA SPORT GT 1.5
FORTUNER G 2.5
FORTUNER G TRD 2.5
FREED E 1.5
FREED S 1.5
GO PANCA T LIVE 1.2
GO+ PANCA T 1.2
GRAND LIVINA HIGHWAY STAR 1.5
GRAND LIVINA HIGHWAY STAR AUTECH 1.5
GRAND LIVINA SV 1.5
GRAND LIVINA X-GEAR 1.5
GRAND LIVINA XV 1.5
HR-V E 1.5
HR-V E PLUS 1.5
HR-V S 1.5
HR-V SE 1.5
IGNIS GL 1.2
IGNIS GX 1.2
IGNIS GX AGS 1.2
JAZZ RS 1.5
JUKE 1.5
KARIMUN GL 1.0
KARIMUN GS 1.0
KIJANG INNOVA G 2.0
KIJANG INNOVA G LUX 2.0
KIJANG INNOVA Q 2.0
KIJANG INNOVA REBORN G 2.0
KIJANG INNOVA REBORN V 2.0
KIJANG INNOVA REBORN VENTURER GASOLINE 2.0
KIJANG INNOVA V 2.0
LIVINA VL 1.5
MARCH 1.2
MARCH 1.5
MARCH L 1.2
MOBILIO E 1.5
MOBILIO E PRESTIGE 1.5
MOBILIO RS 1.5
MOBILIO S 1.5
OUTLANDER SPORT GLS 2.0
OUTLANDER SPORT PX 2.0
RAIZE GR 1.0
RAIZE GR SPORT 1.0
RAIZE GR SPORT TSS 1.0
RAIZE GR TWO TONE 1.0
RAIZE TURBO G 1.0
ROCKY R 1.0
ROCKY X 1.2
RUSH G 1.5
RUSH S 1.5
RUSH S GR SPORT 1.5
RUSH S TRD 1.5
RUSH S TRD SPORTIVO 1.5
S-PRESSO 1.0
SERENA HIGHWAY STAR 2.0
SIENTA G 1.5
SIENTA Q 1.5
SIENTA V 1.5
SIGRA D 1.0
SIGRA M 1.0
SIGRA R 1.2
SIGRA R DLX 1.2
SIGRA R STD 1.2
SIGRA X 1.2
SIRION 1.3
SIRION M602RS 1.3
SPARK PREMIER 1.4
STARGAZER PRIME 1.5
SX4 S-CROSS 1.5
TERIOS ADVENTURE R 1.5
TERIOS R 1.5
TERIOS R DLX 1.5
TERIOS TX 1.5
TERIOS X 1.5
TERIOS X DLX 1.5
X-TRAIL 2.0
X-TRAIL 2.5
X-TRAIL URBAN SELECTION 2.5
XENIA R 1.3
XENIA R DLX 1.3
XENIA R SPORTY 1.3
XENIA R STD 1.3
XENIA X 1.3
XENIA X STD 1.3
XL7 ALPHA 1.5
XL7 BETA 1.5
XL7 ZETA GL 1.5
XPANDER CROSS 1.5
XPANDER EXCEED 1.5
XPANDER SPORT 1.5
XPANDER ULTIMATE 1.5
YARIS G 1.5
YARIS S TRD 1.5
